x1	y1	e1	x2	y2	e2
25.7	2.29E+02	2.40E+00	24.3	1.42E+02	4.89E+00
25.8	2.26E+02	2.41E+00	24.4	1.34E+02	4.83E+00
25.8	2.25E+02	2.40E+00	24.5	1.31E+02	4.77E+00
25.9	2.27E+02	2.39E+00	24.5	1.26E+02	4.87E+00
26	2.24E+02	2.39E+00	24.6	1.30E+02	4.86E+00
26	2.25E+02	2.37E+00	24.7	1.37E+02	4.89E+00
26.1	2.22E+02	2.35E+00	24.7	1.30E+02	4.85E+00
26.2	2.17E+02	2.36E+00	24.8	1.23E+02	4.79E+00
26.2	2.16E+02	2.35E+00	24.9	1.31E+02	4.85E+00
26.3	2.11E+02	2.33E+00	24.9	1.29E+02	4.82E+00
26.4	2.16E+02	2.36E+00	25	1.27E+02	4.77E+00
26.4	2.11E+02	2.33E+00	25.1	1.32E+02	4.82E+00
26.5	2.15E+02	2.33E+00	25.1	1.24E+02	4.72E+00
26.5	2.13E+02	2.32E+00	25.2	1.25E+02	4.72E+00
26.6	2.10E+02	2.31E+00	25.3	1.32E+02	4.80E+00
26.7	2.07E+02	2.28E+00	25.3	1.29E+02	4.76E+00
26.7	2.06E+02	2.28E+00	25.4	1.29E+02	4.72E+00
26.8	2.09E+02	2.27E+00	25.5	1.29E+02	4.81E+00
26.9	2.06E+02	2.26E+00	25.5	1.25E+02	4.76E+00
26.9	2.06E+02	2.26E+00	25.6	1.20E+02	4.71E+00
27	1.97E+02	2.25E+00	25.6	1.26E+02	4.73E+00
27.1	2.00E+02	2.25E+00	25.7	1.25E+02	4.75E+00
27.1	1.95E+02	2.24E+00	25.8	1.24E+02	4.72E+00
27.2	1.97E+02	2.21E+00	25.8	1.24E+02	4.71E+00
27.3	1.93E+02	2.21E+00	25.9	1.18E+02	4.64E+00
27.3	1.92E+02	2.22E+00	26	1.24E+02	4.75E+00
27.4	1.88E+02	2.19E+00	26	1.29E+02	4.80E+00
27.5	1.89E+02	2.17E+00	26.1	1.14E+02	4.52E+00
27.5	1.88E+02	2.17E+00	26.2	1.19E+02	4.69E+00
27.6	1.88E+02	2.18E+00	26.2	1.24E+02	4.68E+00
27.7	1.88E+02	2.19E+00	26.3	1.17E+02	4.61E+00
27.7	1.83E+02	2.17E+00	26.4	1.21E+02	4.65E+00
27.8	1.85E+02	2.18E+00	26.4	1.18E+02	4.61E+00
27.9	1.83E+02	2.14E+00	26.5	1.16E+02	4.57E+00
27.9	1.81E+02	2.13E+00	26.6	1.16E+02	4.63E+00
28	1.78E+02	2.13E+00	26.6	1.16E+02	4.57E+00
28.1	1.77E+02	2.13E+00	26.7	1.21E+02	4.59E+00
28.1	1.78E+02	2.12E+00	26.8	1.18E+02	4.58E+00
28.2	1.77E+02	2.10E+00	26.8	1.18E+02	4.52E+00
28.3	1.76E+02	2.10E+00	26.9	1.21E+02	4.65E+00
28.3	1.78E+02	2.10E+00	27	1.14E+02	4.52E+00
28.4	1.76E+02	2.09E+00	27	1.11E+02	4.45E+00
28.5	1.71E+02	2.10E+00	27.1	1.20E+02	4.61E+00
28.5	1.74E+02	2.10E+00	27.2	1.17E+02	4.54E+00
